Date,Open,High,Low,Close,Adj Close,Volume
1980-12-08,0.513393,0.515625,0.513393,0.513393,0.408971,117258400
1980-12-15,0.488839,0.506696,0.450893,0.504464,0.401859,122533600
1980-12-22,0.529018,0.636161,0.529018,0.633929,0.504991,46972800
1980-12-29,0.642857,0.645089,0.609375,0.616071,0.490765,54863200
1981-01-05,0.604911,0.604911,0.540179,0.569196,0.453425,49476000
1981-01-12,0.569196,0.569196,0.544643,0.553571,0.440977,22125600
1981-01-19,0.587054,0.591518,0.569196,0.584821,0.465871,33583200
1981-01-26,0.578125,0.578125,0.504464,0.504464,0.401859,41647200
1981-02-02,0.477679,0.515625,0.475446,0.513393,0.408971,23144800
1981-02-09,0.491071,0.491071,0.455357,0.455357,0.362740,18664800
1981-02-16,0.466518,0.491071,0.433036,0.433036,0.344958,19549600
1981-02-23,0.439732,0.477679,0.424107,0.473214,0.376965,19045600
1981-03-02,0.475446,0.477679,0.457589,0.457589,0.364518,14655200
1981-03-09,0.424107,0.424107,0.386161,0.397321,0.316508,91028000
1981-03-16,0.412946,0.464286,0.412946,0.459821,0.366296,42582400
1981-03-23,0.477679,0.482143,0.441964,0.441964,0.352071,20440000
1981-03-30,0.441964,0.475446,0.433036,0.473214,0.376965,26964000
1981-04-06,0.466518,0.500000,0.459821,0.497768,0.396524,25351200
1981-04-13,0.497768,0.500000,0.446429,0.446429,0.355627,20160000
1981-04-20,0.459821,0.524554,0.459821,0.517857,0.412528,43988000
1981-04-27,0.515625,0.515625,0.497768,0.506696,0.403637,28380800
1981-05-04,0.506696,0.506696,0.488839,0.500000,0.398302,17052000
1981-05-11,0.491071,0.497768,0.479911,0.491071,0.391190,7733600
1981-05-18,0.500000,0.564732,0.491071,0.560268,0.446312,26628000
1981-05-25,0.560268,0.593750,0.558036,0.591518,0.471206,92052800
1981-06-01,0.591518,0.593750,0.562500,0.564732,0.449868,61219200
1981-06-08,0.546875,0.589286,0.544643,0.580357,0.462315,75773600
1981-06-15,0.580357,0.580357,0.540179,0.540179,0.430309,64786400
1981-06-22,0.522321,0.533482,0.515625,0.520089,0.414306,24236800
